date,company,writer,title,classification1,classification2,classification3,contents
20200806,중도일보,박태구 기자,국가하천 승격' 대전천 체계적 관리방안 논의하다,사회>환경,지역>대전,지역>강원,"대전세종연구원은 지난달 31일 연구원 2층 대회의실에서 ..‘대전천의 미래 비전 및 관리방향’ 모색을 위한 전문가 세미나를 열었다... 이번 세미나는 올해부터 대전천의 국가하천 승격으로 보다 체계적인 수계관리 기반이 마련됨에 따라 대전천이 대전 시민에게 도심 내 쾌적한 수변공간으로 다가가고, 생태환경적 측면에서 효율적 관리방향을 모색해보자는 차원에서 마.."
20200806,아주경제,이승요,"[아주경제 오늘의 뉴스 종합]집중호우 피해 속출, 뉴딜펀드 만든다 등",경제>금융_재테크,지역>강원,,"▲전국에 ..'물 폭탄' ..… 저수지 붕괴, 주택 침수 등 피해 속출 .. .. .. ..전국에 내린 집중호우로 주택이 침수되고 사망사고가 발생하는 등 피해가 속출하고 있다... 2일 낮 12시 기준 중앙재난안전대책본부(중대본)와 소방청, 각 지자체 등에 따르면 이날 오전 경기 안성에서 조립식 패널 건물 붕괴로 50대 남성 A씨가 사망하는 등 이날 하.."
20200806,경향신문,대구|조형국 기자 situation@kyunghyang.com,민주당 주말 '영남대전'의 관건은··· PK·TK에서 격돌한 세 후보,정치>국회_정당,정치>선거,,"영남권 표심을 사로잡기 위한 더불어민주당 당권 주자 3인의 지지 호소가 1~2일 대구·경북(TK), 부산·울산·경남(PK)에서 펼쳐졌다... 지난 4·15 총선에서 민주당에 참패를 안긴 영남은 2022년 정권 재창출을 위한 핵심 공략 지역으로 꼽힌다... 영남이 ..‘베이스 캠프’인 김부겸 후보(62)와 대선을 위해선 영남 지지를 끌어야 하는 이낙연 후.."
20200806,경향신문,,"[사설]코로나 속 반가운 경기회복 신호, 경계는 풀지 말아야",경제>무역,경제>증권_증시,경제>자동차,"한국의 7월 수출이 작년보다 7% 감소한 428억3000만달러를 기록했다... 코로나19 여파로 지난 3월 1.6% 감소세로 돌아선 수출이 4월 ..-25.5%, 5월 ..-23.6%로 바닥을 찍고 넉달 만에 한 자릿수 감소율로 재진입했다... 올 2분기 한국 경제가 외환위기 후 22년 만에 최악의 역성장(-3.3%)을 할 때 발목 잡은 게 수출이었다..."
20200806,대전일보,천재상,"한국중부발전, 발전소 인공지능 선언식 개최",지역>대전,지역>전남,지역>경남,한국중부발전은 지난달 30일 빅데이터 활용 7배 확대를 골자로 하는 ..'한국중부발전 인공지능(AI) 선언식'을 개최했다. ..이번 선언은 한국판 뉴딜을 지원하고 AI산업 육성에서 일자리 창출까지 디지털 전 과정을 완성하는 ..'발전산업 디지털 대전환' 선언이다. ..AI 플랫폼에는 근로자 위험행동 영상검출·환경설비 성능예측·에너지효율화 등 발전소 공정..
20200806,대전일보,천재상,"이낙연 민주당 당대표 후보 행정수도 완성, 흔들림 없다",정치>국회_정당,정치>선거,정치>청와대,더불어민주당 당대표 후보인 이낙연 국회의원이 지난달 31일 세종시를 방문해 행정수도 완성과 국가균형 발전을 위한 로드맵을 밝혔다. ..이날 이 의원은 세종호수공원 청담만리에서 ..세종은 균형발전의 염원을 안고 탄생한 도시다... 완성을 향해 흔들림 없이 나아가야 한다며 ..이를 위해 ..'균형발전 뉴딜'이라는 정책 구상을 가다듬고 있다고 말했다...
20200806,중앙일보,최선욱(isotope@joongang.co.kr),두산이 짓고 공사비 떼인 골프장…7년만에 팔아 빚 3% 상환,경제>산업_기업,경제>금융_재테크,경제>부동산,"두산중공업이 강원도 홍천에 있는 골프장 클럽모우CC를 1850억원에 팔았다고 2일 밝혔다... 두산중공업은 회원권 보증금 반환 등 일부 비용을 치르고 남은 돈 1200억원을 채권단에 갚았다... 두산중공업은 올해 초 산업은행 등에서 3조6000억원을 빌렸는데, 이 중 일부(3.3%)를 갚은 첫 사례다... .. .. .. .. 클럽모우의 새 주인은 하나.."
20200806,전북일보,천경석,"국가예산 확보·현안 해결, 한마음 한뜻",지역>전북,지역>대전,지역>경기,"도내 국회의원과 전북도, 시ㆍ군은 지난달 31일 도청 대회의실에서 예산정책협의회를 열고 내년도 국가예산과 주요 현안사업에 대한 해법을 찾기 위한 원팀이 되어 지역발전에 힘을 모으기로 다짐하며 기념촬영을 하고 있다... 오세림 기자 내년도 국가 예산과 주요 지역 현안의 해법을 찾기 위해 전북도와 시ㆍ군, 지역 국회의원들이 머리를 맞댔다... .. .. .."
20200806,전북일보,김윤정,"“지자체 예산활동, ‘포스트코로나와 K뉴딜’에 대응해야”",지역>전북,정치>국회_정당,지역>경기,도내 국회의원과 전북도... 시ㆍ군 예산정책협의회가 지난달 31일 도청 대회의실에서 열린 가운데 송하진 도지사가 인사말을 하고 있다... 오세림 기자전북 국회의원과 도내 자치단체장들이 만난 이번 예산정책협의회를 관통한 화두는 단연 포스트코로나와 한국판 뉴딜 대응이었다... .. .. ..도내 의원들은 이날 ..“최근 정부의 예산편성 흐름이 포스트코로나와..
20200806,아주경제,임애신,뉴딜펀드' 만든다...원금보장에 '3%+α' 수익률 보장,경제>금융_재테크,정치>행정_자치,경제>증권_증시,정부가 3%대 수익률의 뉴딜펀드를 조성한다... 이는 한국판 뉴딜의 재원을 조달함과 동시에 은행 예금금리가 사상 처음으로 0%대로 떨어진 상황에서 국민에게 안정적인 투자처를 제공하기 위한 방안이다... .. .. .. ..2일 정부와더불어민주당 등에따르면 당정은 이달 중 국민참여형 뉴딜펀드 출시를 확정해 발표할 예정이다. .. .. .. ..홍남기..
20200806,디지털타임스,김양혁,정부의 하반기 경제성장 낙관론에 전문가들 “기대보다 약한 반등”,경제>무역,,,"[디지털타임스 김양혁 기자] 정부가 언급한 ..'V자 반등' 가능성에 전문가들은 그럴 가능성은 낮고, 저성장에 무게를 실었다... 3분기부터 본격적으로 회복국면에 접어들면서 반등을 이뤄낼 것이란 게 정부 측의 예상이지만, 실제 성장률은 예상보다 높지 않을 것이라는 게 전문가들의 공통된 의견이었다. .. .. .. ..2일 관련 부처 등에 따르면 정부는 .."
20200806,한국일보,김경준,"두산중공업, 골프장 매각 대금으로 채권단 차입금 첫 상환",경제>산업_기업,경제>금융_재테크,경제>증권_증시,"두산중공업이 산업은행·수출입은행 등 채권단으로부터 지원받은 긴급운영자금 중 일부를 처음으로 상환했다고 2일 밝혔다... .. ..두산중공업에 따르면 하나금융-모아미래도 컨소시엄과 클럽모우CC 골프장에 대한 매각 거래를 완료하고, 매각대금 1,850억원 중 일부 회원권 입회 보증금 반환 비용 등을 제외한 대금으로 채권단 차입금을 상환했다... .. ..두.."
20200806,충청일보,정완영 기자,이낙연 의원 세종시 방문  국회 세종의사당 연내 매듭,정치>행정_자치,정치>국회_정당,정치>청와대,"[충청일보 정완영 기자] 더불어민주당 대표에 도전 하는 이낙연 국회의원이 지난 31일 세종시를 방문해 ..국회 세종의사당 건립을 연내에 매듭짓자고 밝혔다... .. .. ..이 의원은 세종호수공원 ..'바람의 언덕'과 ..'균형발전 상징공원'을 방문, 노무현 정신을 되새겼다... .. .. ..세종호수공원에 있는 국가균형발전 공원에서 기자들과 만나 .."
20200806,무등일보,이윤주,2023순천만국제정원박람회 정부승인 기념 제막식,지역>전남,지역>경남,지역>울산,"2023순천만국제정원박람회 정부승인을 축하하는 D-1000일 기념 제막식이 지난달 31일 순천시청 정문에서 개최됐다. ..제막식은 허석 순천시장, 김영록 전남도지사, 소병철 국회의원, 전남도·순천시의원, 주무부처인 산림청 최병암 차장 등 50여명이 참석한 가운데 축하 덕담과 대시민 메시지, D-1000일 카운터 제막 순으로 진행됐다. ..이번 행사에는 .."
20200806,중도일보,방원기 기자,"장철민 의원 환경부와 기상청, 기후변화 따른 폭우 대책 마련을",정치>국회_정당,지역>경남,,"더불어민주당 장철민(대전 동구) 의원은 2일 환경부와 기상청을 국회 환경노동위원회에서 환경부와 기상청을 상대로 기후변화에 따른 폭우 등 기상이변 대책 마련이 시급하다고 촉구했다... 장 의원은 이날 보도자료를 내고 ..30일 대전에 시간당 100mm 이상 폭우가 내렸는데, 이는 기상관측상 최초의 일이라며 ..도시인프라나 공무원 조직이 기상이변에 준.."
20200806,전북도민일보,설정욱 기자,전북 지자체·정치권 손 맞잡다...예산정책협의회 중점사업 긴밀 공조,지역>전북,정치>국회_정당,지역>경기,"전북지역 자치단체장들과 지역 국회의원이 내년도 국가 예산 확보를 위해 손을 맞잡았다... .. .. ..지난달 31일 전북도청에서 열린 ..‘국회의원ㆍ전라북도ㆍ시군 예산정책협의회’에서 공조 통한 2021년 국가 예산 확보 대응 방안 등이 논의됐다... .. .. ..이날 회의에는 송하진 지사와 김승수 전주시장 등 14명의 시장ㆍ군수, 그리고 더불어민주당.."
20200806,서울신문,한상봉,“태릉에 아파트를 … 지금도 숨막혀 광역교통대책 선행 돼야”,지역>강원,지역>경기,지역>충남,경기 구리시가 태릉골프장 83만㎡ 개발에 앞서 광역교통대책 마련을 정부에 요청하기로 했다고 1일 밝혔다. ..정부가 계획 중인 육군사관학교 이전과 태릉골프장 공공주택 건립 예정지 가운데 약 7만5000여㎡는 행정구역상 구리시 관할 지역이기 때문이다.더욱이 면적 50만㎡ 이상 또는 인구 1만명 이상 대규모 개발사업 때는 인근 도시에 영향을 주는 만큼 광역..
20200806,매일신문,이상준,대구 취수원 이전 '다변화'…'낙동강 뉴딜' 격상,지역>대구,지역>전북,지역>경남,안전한 물 확보를 위한 대구 취수원 이전 논의가 ..'다변화'로 옮겨가는 가운데 ..'낙동강 뉴딜 사업'을 통해 새로운 해법을 찾을지 관심이 집중되고 있다... .. .. .. .. 2일 대구시에 따르면 환경부의 취수원 다변화 방안 제시와 함께 낙동강 뉴딜 사업이 영남권 미래발전협의회 의제로 오를 가능성이 제기되고 있다... 뉴딜 사업으로 추진될 경우 ..
20200806,디지털타임스,이상현,"LH, 25㎾급 건물용 연료전지 기술실증 공간 제공",지역>경기,지역>대전,지역>충남,[디지털타임스 이상현 기자] 한국토지주택공사(LH)는 지난달 30일 LH 홍보관 ..'더스마티움'에서 연로전지 전문 중소기업인 S-퓨얼셀과 ..'25㎾급 건물용 연료전지 개발 및 기술실증 업무협약'을 체결했다고 2일 밝혔다. .. .. .. ..이번 업무협약은 정부의 그린뉴딜 종합계획에 발맞춘 신재생 에너지 국가 R&D 참여의 일환으로 국책과저 선정기관..
20200806,머니투데이,세종=김훈남|기자|,한달만에 3차추경 8.4조 썼다…재정으로 '성장률 방어' 가속,경제>취업_창업,경제>무역,,[머니투데이 세종=김훈남 기자] 정부가 코로나19(COVID-19) 경제위기 극복을 위해 편성한 제3차 추가경정(추경) 예산 집행에 속도를 내고 있다... .. .. ..지난달 4일 추경안이 국회를 넘어 편성된 이후 한 달이 채 안 돼 금융지원과 한국판 뉴딜 분야 등에 40% 이상을 집행했다... 8월과 9월 등 3분기 남은 추경 예산 집행에 속도를 내..
20200806,아시아경제,이춘희,그린리모델링 통해 공공임대주택 주거환경 개선 나선다,경제>부동산,지역>전북,경제>자원,[아시아경제 이춘희 기자] 정부가 그린뉴딜 핵심 과제 중 하나인 그린리모델링을 공공임대주택에 선제적으로 적용한다... .. .. .. ..국토교통부와 한국토지주택공사(LH)는 지난달 31일 노후 공공임대주택에 대한 그린리모델링 사업에 본격 착수했다고 3일 밝혔다... .. .. .. ..노후 공공임대주택 그린리모델링은 준공된 지 15년 이상 지난 영구임..
20200806,충북일보,손근방,박세복 영동군수 한국형 뉴딜 정책 적극 대응,지역>전북,지역>충남,지역>충북,［충북일보］ 박세복 영동군수가 간부회의에서 정부의 한국형 뉴딜 정책에 선제적 대응을 당부했다... .. .. ..박 군수는 ..대규모 재정이 투자되는 곳이 자치단체인 만큼 뉴딜과 연계한 미래 전략을 신속하게 수립해야 한다며 ..행정의 역량을 집중해 창의적인 아이디어를 공모하는 등 발 빠른 대응에 나서야 한다고 말했다... .. .. ..박 군수는..
